The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.0023108+0.0014148,0.0304324,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.00204294+0.0014148,0.0301646,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.00192619+0.0014148,0.0300478,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.00233514+0.0014148,0.0304568,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.00222446+0.0014148,0.0303461,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.00200163+0.0014148,0.0301233,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.00207063+0.0014148,0.0301923,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.00214095+0.0014148,0.0302626,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.0013147+0.00141479,0.0294363,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.00124018+0.00141479,0.0293618,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.00125599+0.00141479,0.0293776,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.00131065+0.00141479,0.0294323,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.00116553+0.00141479,0.0292872,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.00106511+0.00141479,0.0291867,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.00133867+0.00141479,0.0294603,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.00121707+0.00141479,0.0293387,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.00129969+0.00141479,0.0294213,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.0012519+0.00141479,0.0293735,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.00112954+0.00141479,0.0292512,,,,,,,,,,,,,,,,,,,,,
